Q3:
+----------+----------------+-----------------+----------------+---------+---------+----------------+
| ds       | firstcommodity | secondcommodity | commodityname  | uv      | pv      | sum_price      |
+----------+----------------+-----------------+----------------+---------+---------+----------------+
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤0    | 21709   | 21752   | 11073163.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤1    | 21600   | 21643   | 11001486.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤10   | 21811   | 21845   | 11081871.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤11   | 21931   | 21973   | 11119287.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤12   | 21647   | 21681   | 11058321.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤13   | 21459   | 21496   | 10966166.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤14   | 21611   | 21654   | 11031998.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤15   | 21791   | 21834   | 11032084.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤16   | 21757   | 21794   | 11018857.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤17   | 21807   | 21844   | 11111722.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤18   | 21740   | 21778   | 11076779.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤19   | 21928   | 21968   | 11190838.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤2    | 21643   | 21691   | 11013233.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤20   | 21834   | 21879   | 11104918.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤21   | 21769   | 21805   | 11135887.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤22   | 21550   | 21600   | 10942668.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤23   | 21776   | 21818   | 11093124.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤24   | 21781   | 21813   | 11078219.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤25   | 21480   | 21518   | 10986352.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤26   | 21774   | 21817   | 11079097.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤27   | 21749   | 21782   | 11045053.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤28   | 21709   | 21751   | 11123814.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤29   | 21732   | 21778   | 11042711.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤3    | 21686   | 21725   | 11092526.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤4    | 21893   | 21935   | 11120814.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤5    | 21485   | 21512   | 10894625.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤6    | 21825   | 21857   | 11196989.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤7    | 21877   | 21919   | 11079122.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤8    | 21635   | 21673   | 11065022.000   |
| 20200801 | 女装           | 牛仔裤0         | 九分牛仔裤9    | 21852   | 21886   | 11170076.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤0    | 21666   | 21709   | 11027768.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤1    | 21951   | 22008   | 11094481.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤10   | 21577   | 21620   | 10990955.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤11   | 21666   | 21700   | 11023702.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤12   | 21714   | 21758   | 11058289.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤13   | 21926   | 21953   | 11154695.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤14   | 21437   | 21495   | 11015700.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤15   | 21460   | 21488   | 10925946.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤16   | 21431   | 21476   | 10943191.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤17   | 21527   | 21573   | 10983664.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤18   | 21984   | 22018   | 11169604.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤19   | 21807   | 21859   | 11124352.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤2    | 21658   | 21700   | 10967365.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤20   | 21478   | 21507   | 10990589.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤21   | 21610   | 21656   | 11006949.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤22   | 21827   | 21860   | 11129614.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤23   | 21737   | 21767   | 11093276.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤24   | 21764   | 21791   | 11043552.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤25   | 21770   | 21820   | 11062568.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤26   | 21597   | 21644   | 10963182.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤27   | 21635   | 21665   | 11011013.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤28   | 21464   | 21518   | 10941543.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤29   | 21759   | 21790   | 11091106.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤3    | 21551   | 21585   | 10957488.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤4    | 21477   | 21510   | 11014411.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤5    | 21763   | 21806   | 11091626.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤6    | 21442   | 21491   | 10901780.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤7    | 21536   | 21576   | 10983838.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤8    | 21376   | 21415   | 10901853.000   |
| 20200801 | 女装           | 牛仔裤1         | 九分牛仔裤9    | 21765   | 21805   | 11111456.000   |
