
Q4:
+----------+---------------------------+------------------+------+-------+-------------+
| ds       | isnull(vip_level, '未知') | total_visit_days | uv   | pv    | sum_price   |
+----------+---------------------------+------------------+------+-------+-------------+
| 20200801 | 未知                      | 30.000           | 1390 | 25673 | 2891351.000 |
| 20200801 | 未知                      | 31.000           | 1346 | 23449 | 2573518.000 |
| 20200801 | 未知                      | 32.000           | 1341 | 24058 | 2648345.000 |
| 20200801 | 未知                      | 33.000           | 1361 | 25052 | 2831195.000 |
| 20200801 | 未知                      | 34.000           | 1306 | 23643 | 2669269.000 |
| 20200801 | 未知                      | 35.000           | 1303 | 24534 | 2753428.000 |
| 20200801 | 未知                      | 36.000           | 1334 | 24154 | 2689818.000 |
| 20200801 | 未知                      | 37.000           | 1307 | 23884 | 2687428.000 |
| 20200801 | 未知                      | 38.000           | 1414 | 25346 | 2807212.000 |
| 20200801 | 未知                      | 39.000           | 1350 | 23660 | 2620370.000 |
| 20200801 | 未知                      | 40.000           | 1289 | 23025 | 2577616.000 |
| 20200801 | 未知                      | 41.000           | 1313 | 23911 | 2694309.000 |
| 20200801 | 未知                      | 42.000           | 1408 | 25004 | 2801380.000 |
| 20200801 | 未知                      | 43.000           | 1299 | 23109 | 2551814.000 |
| 20200801 | 未知                      | 44.000           | 1289 | 23479 | 2637153.000 |
| 20200801 | 未知                      | 45.000           | 1311 | 23636 | 2637426.000 |
| 20200801 | 未知                      | 46.000           | 1333 | 24431 | 2722163.000 |
| 20200801 | 未知                      | 47.000           | 1367 | 24391 | 2718914.000 |
| 20200801 | 未知                      | 48.000           | 1341 | 25086 | 2822063.000 |
| 20200801 | 未知                      | 49.000           | 1277 | 22617 | 2507847.000 |
| 20200801 | 未知                      | 50.000           | 1366 | 24023 | 2716860.000 |
| 20200801 | 未知                      | 51.000           | 1374 | 25058 | 2811817.000 |
| 20200801 | 未知                      | 52.000           | 1423 | 25457 | 2837947.000 |
| 20200801 | 未知                      | 53.000           | 1280 | 22182 | 2473685.000 |
| 20200801 | 未知                      | 54.000           | 1288 | 22878 | 2623339.000 |
| 20200801 | 未知                      | 55.000           | 1347 | 23819 | 2711591.000 |
| 20200801 | 未知                      | 56.000           | 1320 | 23848 | 2743984.000 |
| 20200801 | 未知                      | 57.000           | 1390 | 24986 | 2747026.000 |
| 20200801 | 未知                      | 58.000           | 1380 | 24726 | 2767905.000 |
| 20200801 | 未知                      | 59.000           | 1384 | 25038 | 2852511.000 |
| 20200801 | 未知                      | 60.000           | 1360 | 24969 | 2836391.000 |
| 20200801 | 未知                      | 61.000           | 1348 | 24505 | 2735171.000 |
| 20200801 | 未知                      | 62.000           | 1308 | 23383 | 2640567.000 |
| 20200801 | 未知                      | 63.000           | 1347 | 23567 | 2685533.000 |
| 20200801 | 未知                      | 64.000           | 1312 | 24210 | 2752629.000 |
| 20200801 | 未知                      | 65.000           | 1398 | 25623 | 2843221.000 |
| 20200801 | 未知                      | 66.000           | 1354 | 24250 | 2756453.000 |
| 20200801 | 未知                      | 67.000           | 1356 | 23958 | 2709967.000 |
| 20200801 | 未知                      | 68.000           | 1344 | 23872 | 2728805.000 |
| 20200801 | 未知                      | 69.000           | 1273 | 22577 | 2533994.000 |
| 20200801 | 未知                      | 70.000           | 1333 | 24364 | 2733391.000 |
| 20200801 | 未知                      | 71.000           | 1387 | 24538 | 2694822.000 |
| 20200801 | 未知                      | 72.000           | 1387 | 24635 | 2738042.000 |
| 20200801 | 未知                      | 73.000           | 1331 | 24023 | 2707761.000 |
| 20200801 | 未知                      | 74.000           | 1271 | 22568 | 2561071.000 |
| 20200801 | 未知                      | 75.000           | 1364 | 24975 | 2830718.000 |
| 20200801 | 未知                      | 76.000           | 1353 | 23937 | 2688934.000 |
| 20200801 | 未知                      | 77.000           | 1339 | 23598 | 2625452.000 |
| 20200801 | 未知                      | 78.000           | 1319 | 23210 | 2605598.000 |
| 20200801 | 未知                      | 79.000           | 1387 | 25211 | 2833637.000 |
| 20200801 | 未知                      | 80.000           | 1324 | 23241 | 2661611.000 |
| 20200801 | 未知                      | 81.000           | 1349 | 24137 | 2672143.000 |
| 20200801 | 未知                      | 82.000           | 1326 | 24183 | 2694994.000 |
| 20200801 | 未知                      | 83.000           | 1316 | 23654 | 2615188.000 |
| 20200801 | 未知                      | 84.000           | 1290 | 22838 | 2578825.000 |
| 20200801 | 未知                      | 85.000           | 1346 | 24155 | 2682742.000 |
| 20200801 | 未知                      | 86.000           | 1359 | 24588 | 2741948.000 |
| 20200801 | 未知                      | 87.000           | 1292 | 23018 | 2551572.000 |
| 20200801 | 未知                      | 88.000           | 1368 | 24030 | 2731678.000 |
| 20200801 | 未知                      | 89.000           | 1358 | 24391 | 2668736.000 |
| 20200801 | 未知                      | 90.000           | 1337 | 23642 | 2651358.000 |
| 20200801 | 未知                      | 91.000           | 1398 | 25005 | 2808579.000 |
| 20200801 | 未知                      | 92.000           | 1321 | 23753 | 2709697.000 |
| 20200801 | 未知                      | 93.000           | 1350 | 24508 | 2804830.000 |
| 20200801 | 未知                      | 94.000           | 1258 | 22800 | 2507881.000 |
| 20200801 | 未知                      | 95.000           | 1329 | 23756 | 2683854.000 |
| 20200801 | 未知                      | 96.000           | 1320 | 23481 | 2646369.000 |
| 20200801 | 未知                      | 97.000           | 1356 | 24101 | 2668014.000 |
| 20200801 | 未知                      | 98.000           | 1315 | 23378 | 2578322.000 |
| 20200801 | 未知                      | 99.000           | 1353 | 23945 | 2580784.000 |
| 20200801 | 未知                      | 100.000          | 1276 | 23446 | 2568616.000 |
| 20200801 | 未知                      | 101.000          | 1374 | 24572 | 2741006.000 |
| 20200801 | 未知                      | 102.000          | 1307 | 24225 | 2715351.000 |
| 20200801 | 未知                      | 103.000          | 1383 | 24610 | 2783858.000 |
| 20200801 | 未知                      | 104.000          | 1314 | 23607 | 2682366.000 |
| 20200801 | 未知                      | 105.000          | 1380 | 25385 | 2810548.000 |
| 20200801 | 未知                      | 106.000          | 1308 | 23481 | 2586923.000 |
| 20200801 | 未知                      | 107.000          | 1266 | 22594 | 2491779.000 |
| 20200801 | 未知                      | 108.000          | 1317 | 24091 | 2683095.000 |
| 20200801 | 未知                      | 109.000          | 1287 | 23084 | 2541415.000 |
| 20200801 | 未知                      | 110.000          | 1347 | 24095 | 2676061.000 |
| 20200801 | 未知                      | 111.000          | 1362 | 25006 | 2876718.000 |
| 20200801 | 未知                      | 112.000          | 1350 | 24306 | 2755152.000 |
| 20200801 | 未知                      | 113.000          | 1299 | 23876 | 2665529.000 |
| 20200801 | 未知                      | 114.000          | 1291 | 23108 | 2551705.000 |
| 20200801 | 未知                      | 115.000          | 1350 | 24372 | 2695225.000 |
| 20200801 | 未知                      | 116.000          | 1326 | 24003 | 2686267.000 |
| 20200801 | 未知                      | 117.000          | 1374 | 24466 | 2738445.000 |
| 20200801 | 未知                      | 118.000          | 1378 | 24547 | 2697206.000 |
| 20200801 | 未知                      | 119.000          | 1335 | 23700 | 2672243.000 |
| 20200801 | 未知                      | 120.000          | 1290 | 22379 | 2493548.000 |
| 20200801 | 未知                      | 121.000          | 1342 | 24316 | 2701605.000 |
| 20200801 | 未知                      | 122.000          | 1299 | 22952 | 2582425.000 |
| 20200801 | 未知                      | 123.000          | 1322 | 23947 | 2703750.000 |
| 20200801 | 未知                      | 124.000          | 1287 | 22737 | 2560726.000 |
| 20200801 | 未知                      | 125.000          | 1288 | 22614 | 2525368.000 |
| 20200801 | 未知                      | 126.000          | 1293 | 23728 | 2656292.000 |
| 20200801 | 未知                      | 127.000          | 1305 | 24217 | 2738744.000 |
| 20200801 | 未知                      | 128.000          | 1362 | 24143 | 2687885.000 |
| 20200801 | 未知                      | 129.000          | 1350 | 24864 | 2827483.000 |
| 20200801 | 未知                      | 130.000          | 1313 | 23158 | 2563157.000 |
| 20200801 | 未知                      | 131.000          | 1362 | 24399 | 2730219.000 |
| 20200801 | 未知                      | 132.000          | 1311 | 22910 | 2606534.000 |
| 20200801 | 未知                      | 133.000          | 1329 | 24077 | 2633042.000 |
| 20200801 | 未知                      | 134.000          | 1333 | 23567 | 2617855.000 |
| 20200801 | 未知                      | 135.000          | 1324 | 23719 | 2633629.000 |
| 20200801 | 未知                      | 136.000          | 1375 | 25047 | 2781521.000 |
| 20200801 | 未知                      | 137.000          | 1267 | 22276 | 2499326.000 |
| 20200801 | 未知                      | 138.000          | 1373 | 24658 | 2756771.000 |
| 20200801 | 未知                      | 139.000          | 1281 | 23017 | 2616878.000 |
| 20200801 | 未知                      | 140.000          | 1294 | 23161 | 2630498.000 |
| 20200801 | 未知                      | 141.000          | 1331 | 23647 | 2654925.000 |
| 20200801 | 未知                      | 142.000          | 1303 | 23858 | 2689748.000 |
| 20200801 | 未知                      | 143.000          | 1316 | 23504 | 2606977.000 |
| 20200801 | 未知                      | 144.000          | 1317 | 23428 | 2627250.000 |
| 20200801 | 未知                      | 145.000          | 1333 | 23804 | 2650067.000 |
| 20200801 | 未知                      | 146.000          | 1339 | 24175 | 2692680.000 |
| 20200801 | 未知                      | 147.000          | 1326 | 23441 | 2671710.000 |
| 20200801 | 未知                      | 148.000          | 1360 | 24103 | 2686334.000 |
| 20200801 | 未知                      | 149.000          | 1329 | 23320 | 2600187.000 |
| 20200801 | 未知                      | 150.000          | 1352 | 24344 | 2736990.000 |
| 20200801 | 未知                      | 151.000          | 1291 | 23167 | 2550058.000 |
| 20200801 | 未知                      | 152.000          | 1297 | 22993 | 2590414.000 |
